session,date,duration,bb,winnings
0,00/00/00,0.0,2,0
1,21/07/14,2,2,210
2,28/07/14,2.5,2,100
3,29/07/14,3,2,40
4,30/07/14,2,2,320
5,31/07/14,2.5,2,-85
6,05/08/14,2.5,2,300
7,06/08/14,3.5,2,-280
8,07/08/14,3,2,85
9,18/08/14,3,2,146
10,19/08/14,2.5,2,201
11,20/08/14,2,2,197
12,21/08/14,2.5,2,475
13,22/08/14,3.25,2,-188
14,23/08/14,3.75,2,220
15,24/08/14,4,2,-602
16,25/08/14,3,2,492
17,26/08/14,3.75,2,115
18,27/08/14,3,2,191
19,01/09/14,2.5,2,86
20,02/09/14,3,2,376
21,03/09/14,3,2,-108
22,04/09/14,2.25,2,382
23,05/09/14,2.5,2,-770
24,09/09/14,2.5,2,456
25,11/09/14,2.75,2,351
26,15/09/14,3,2,214
27,16/09/14,2.5,2,370
28,17/09/14,2.75,2,-97
29,18/09/14,4,2,174
30,19/09/14,1.5,2,-700
31,21/09/14,3,2,306
32,22/09/14,3,2,594
33,24/09/14,3.5,2,-288
34,25/09/14,3.5,2,240
35,29/09/14,3,2,438
36,30/09/14,3,2,150
37,02/10/14,3,2,6
38,06/10/14,3.5,2,-291
39,07/10/14,3,2,421
40,08/10/14,4.25,2,-124
41,13/10/14,4.75,2,-231
42,14/10/14,3,2,57
43,15/10/14,2.75,2,-347
44,02/05/15,3.5,4,402
45,03/05/15,3,2,288
46,04/05/15,3.75,2,-381
47,05/05/15,3,2,-560
48,06/05/15,4,2,-300
49,10/05/15,3,2,165
50,11/05/15,2.5,2,178
51,12/05/15,4,2,483
52,13/05/15,6.25,2,361
53,16/05/15,2,2,-337
54,16/05/15,4.75,2,758
55,18/05/15,4.75,2,230
56,19/05/15,3.75,2,-284
57,20/05/15,3.5,2,356
58,21/05/15,3.25,2,-639
59,27/05/15,5,2,597
60,28/05/15,3.75,2,-40
61,30/05/15,5,2,-200
62,10/06/15,4,2,450
63,11/06/15,3,2,146
64,12/06/15,3.5,2,305
65,14/06/15,3,2,401
66,15/06/15,4,2,94
67,17/06/15,3,2,13
68,18/06/15,3,2,376
69,20/06/15,6.5,4,-701
70,28/08/15,7,2,-110
71,02/09/15,2.5,2,841
72,03/09/15,2.25,2,352
73,04/09/15,2.25,2,-500
74,08/09/15,3.5,2,125
75,09/09/15,3.5,2,-335
76,14/09/15,5,2,276
77,16/09/15,4,2,72
78,18/09/15,1.5,2,250
79,21/09/15,3,2,118
80,23/09/15,2,2,579
81,28/09/15,1.5,2,165
82,01/10/15,3.5,2,162
